x,y,z,name,state
21.07,55.13,-1.05,SW-20_10-15F_n_042.jpg,1
18.29,55.13,-0.21,SW-20_10-15F_n_043.jpg,1
15.13,55.13,-0.25,SW-20_10-15F_n_044.jpg,1
11.96,55.13,-0.28,SW-20_10-15F_n_045.jpg,1
8.12,55.13,-0.63,SW-20_10-15F_n_046.jpg,1
4.86,55.03,-0.47,SW-20_10-15F_n_047.jpg,1
1.7,55.03,-0.51,SW-20_10-15F_n_048.jpg,1
1.7,52.33,-0.51,SW-20_10-15F_n_049.jpg,1
4.95,52.53,-0.66,SW-20_10-15F_n_050.jpg,1
8.12,52.63,-0.63,SW-20_10-15F_n_051.jpg,1
12.04,52.63,-0.47,SW-20_10-15F_n_052.jpg,1
15.13,52.73,-0.25,SW-20_10-15F_n_053.jpg,1
18.29,52.63,-0.21,SW-20_10-15F_n_054.jpg,1
21.72,52.63,-0.75,SW-20_10-15F_n_055.jpg,1
28.16,51.53,7.96,SW-20_10-15F_n_056.jpg,1
26.01,49.43,2.11,SW-20_10-15F_n_057.jpg,1
21.55,49.93,-0.36,SW-20_10-15F_n_058.jpg,1
18.38,50.13,-0.4,SW-20_10-15F_n_059.jpg,1
15.13,50.13,-0.25,SW-20_10-15F_n_060.jpg,1
12.04,50.13,-0.47,SW-20_10-15F_n_061.jpg,1
8.21,50.13,-0.82,SW-20_10-15F_n_062.jpg,1
4.95,49.93,-0.66,SW-20_10-15F_n_063.jpg,1
1.78,49.73,-0.7,SW-20_10-15F_n_064.jpg,1
1.78,46.93,-0.7,SW-20_10-15F_n_065.jpg,1
5.04,47.23,-0.86,SW-20_10-15F_n_066.jpg,1
8.88,47.43,-0.52,SW-20_10-15F_n_067.jpg,1
11.96,47.53,-0.28,SW-20_10-15F_n_068.jpg,1
15.13,47.53,-0.25,SW-20_10-15F_n_069.jpg,1
18.47,47.53,-0.59,SW-20_10-15F_n_070.jpg,1
21.64,47.43,-0.56,SW-20_10-15F_n_071.jpg,1
26.77,46.43,2.22,SW-20_10-15F_n_072.jpg,1
26.79,44.13,0.38,SW-20_10-15F_n_073.jpg,1
23.25,43.43,2.96,SW-20_10-15F_n_074.jpg,1
19.13,44.93,-0.29,SW-20_10-15F_n_075.jpg,1
15.3,44.93,-0.63,SW-20_10-15F_n_076.jpg,1
12.13,44.93,-0.67,SW-20_10-15F_n_077.jpg,1
8.96,44.83,-0.71,SW-20_10-15F_n_078.jpg,1
5.04,44.53,-0.86,SW-20_10-15F_n_079.jpg,1
1.87,44.13,-0.9,SW-20_10-15F_n_080.jpg,1
1.7,41.03,-0.51,SW-20_10-15F_n_081.jpg,1
5.79,41.63,-0.76,SW-20_10-15F_n_082.jpg,1
8.96,41.93,-0.71,SW-20_10-15F_n_083.jpg,1
12.13,42.13,-0.67,SW-20_10-15F_n_084.jpg,1
16.05,42.13,-0.53,SW-20_10-15F_n_085.jpg,1
19.21,42.03,-0.48,SW-20_10-15F_n_086.jpg,1
